,Title,Tomatometer,Popcornmeter,Streaming Start
128,The Beach,21.0,57.0,01.03.2013
129,The Twilight Saga: New Moon,28.0,61.0,04.02.2014
130,National Treasure,46.0,76.0,30.11.2016
131,The Ritual Killer,10.0,20.0,10.03.2023
132,Amsterdam,32.0,62.0,11.11.2022
133,The LEGO Batman Movie,89.0,80.0,19.05.2017
134,Jumanji: Welcome to the Jungle,77.0,87.0,02.03.2018
135,Office Space,81.0,93.0,22.04.2014
136,Dragonkeeper,63.0,64.0,09.07.2024
137,Quiz Lady,82.0,80.0,03.11.2023
138,Jumanji: The Next Level,72.0,87.0,13.12.2019
139,Marmalade,71.0,83.0,09.02.2024
140,Bad Boys for Life,76.0,96.0,31.03.2020
141,Jim Gaffigan: The Skinny,63.27215189873418,66.38557993730407,22.11.2024
142,Fast Charlie,83.0,84.0,08.12.2023
143,Beautiful Disaster,25.0,54.0,02.05.2023
144,The Abyss,89.0,83.0,30.11.2016
145,Hellraiser,67.0,58.0,07.10.2022
146,Walk the Line,83.0,90.0,18.09.2012
147,Sideways,97.0,79.0,02.09.2014
148,Planet of the Apes,43.0,27.0,01.03.2013
149,Spencer,83.0,52.0,23.11.2021
150,Independence Day,68.0,75.0,18.09.2012
151,Cast Away,89.0,84.0,25.11.2015
152,Capone,40.0,24.0,12.05.2020
153,Escape Room,51.0,54.0,09.04.2019
154,Femme,93.0,83.0,30.04.2024
155,Southpaw,60.0,75.0,10.08.2016
156,"Good Luck to You, Leo Grande",94.0,85.0,17.06.2022
157,The Chronicles of Narnia: Prince Caspian,66.0,73.0,01.01.2014
158,Hellboy,17.0,47.0,09.07.2019
159,Ava,21.0,29.0,25.09.2020
160,Freelance,11.0,77.0,28.11.2023
161,Unbreakable,70.0,77.0,01.09.2016
162,Speed,95.0,77.0,25.11.2015
163,Labyrinth,77.0,86.0,09.10.2011
164,The Rock,67.0,85.0,01.01.2016
165,Poker Face,9.0,35.0,22.11.2022
166,The Angry Black Girl and Her Monster,84.0,86.0,23.06.2023
167,The Fly,93.0,83.0,24.08.2014
168,Nomadland,93.0,82.0,19.02.2021
169,Season of the Witch,11.0,30.0,23.06.2011
170,Aliens vs. Predator: Requiem,12.0,30.0,18.09.2012
171,Bring Him to Me,64.0,81.0,19.01.2024
172,Spiral: From the Book of Saw,38.0,75.0,13.07.2021
173,Slash/Back,90.0,50.0,21.10.2022
174,Boss Level,74.0,78.0,05.03.2021
175,She Came to Me,47.0,72.0,10.11.2023
176,Scrambled,94.0,87.0,01.03.2024
177,The LEGO Movie 2: The Second Part,84.0,68.0,16.04.2019
178,Moulin Rouge,75.0,89.0,25.11.2015
179,Mrs. Doubtfire,71.0,77.0,02.09.2014
180,The Rocky Horror Picture Show,80.0,85.0,25.11.2015
181,No Exit,62.0,54.0,25.02.2022
182,Con Air,58.0,75.0,01.03.2015
183,Predators,65.0,52.0,25.11.2015
184,Zombieland: Double Tap,68.0,88.0,18.10.2019
185,The Princess Diaries,49.0,68.0,27.05.2016
186,Benedetta,84.0,90.0,21.12.2021
187,The Duke,97.0,88.0,26.07.2022
188,Robots,64.0,54.0,20.03.2013
189,Medieval,39.0,72.0,08.11.2022
190,The Contestant,92.0,88.0,02.05.2024
191,Hollow Man,26.0,28.0,05.02.2013
192,The Lost King,77.0,92.0,09.05.2023
193,Cash Out,20.0,30.0,26.04.2024
194,The Retirement Plan,60.0,41.0,17.10.2023
195,The Day the Earth Stood Still,21.0,27.0,01.03.2013
196,The Host,93.0,72.0,01.11.2016
197,Teen Titans GO! to the Movies,92.0,71.0,09.10.2018
198,Next Goal Wins,45.0,84.0,16.01.2024
199,Paint,31.0,57.0,09.05.2023
